"","Source","Target","Match ID","Row number","Quarter","Match time (s)","club","PI"
"203",250395,260930,98150101,1740,4,368,"Richmond","handballIneffective"
"204",260930,250395,98150101,1742,4,376,"Richmond","kickEffective"
"205",294592,290032,98150101,1753,4,463,"Richmond","kickEffective"
"206",290032,291891,98150101,1755,4,468,"Richmond","kickEffective"
"207",290198,290073,98150101,1763,4,499,"Richmond","kickEffective"
"208",290671,270896,98150101,1774,4,563,"Richmond","handballEffective"
"209",270896,290032,98150101,1777,4,565,"Richmond","kickEffective"
"210",290032,260930,98150101,1779,4,567,"Richmond","handballEffective"
"211",260930,290032,98150101,1781,4,569,"Richmond","handballEffective"
"212",290032,250395,98150101,1783,4,572,"Richmond","kickEffective"
"213",270737,293713,98150101,1815,4,666,"Richmond","hitout"
"214",293713,270896,98150101,1818,4,668,"Richmond","handballEffective"
"215",260930,1000981,98150101,1825,4,675,"Richmond","handballEffective"
"216",1000981,293713,98150101,1827,4,677,"Richmond","handballEffective"
"217",293713,290032,98150101,1829,4,679,"Richmond","kickEffective"
"218",290032,290198,98150101,1831,4,682,"Richmond","kickEffective"
"219",290198,261362,98150101,1833,4,692,"Richmond","kickEffective"
"220",261362,280819,98150101,1835,4,695,"Richmond","kickEffective"
"221",280819,294592,98150101,1837,4,698,"Richmond","kickEffective"
"222",294592,260433,98150101,1839,4,702,"Richmond","kickEffective"
"223",260433,290847,98150101,1841,4,705,"Richmond","handballEffective"
"224",290847,250312,98150101,1843,4,708,"Richmond","kickEffective"
"225",290847,290032,98150101,1857,4,750,"Richmond","kickIneffective"
"226",290032,290073,98150101,1862,4,755,"Richmond","handballEffective"
"227",290073,280747,98150101,1864,4,757,"Richmond","kickEffective"
"228",291891,290671,98150101,1885,4,899,"Richmond","hitout"
"229",261362,294674,98150101,1908,4,936,"Richmond","handballEffective"
"230",294674,290198,98150101,1910,4,938,"Richmond","handballEffective"
"231",290671,290847,98150101,1931,4,1011,"Richmond","handballEffective"
"232",290847,250395,98150101,1934,4,1016,"Richmond","kickEffective"
"233",250395,280747,98150101,1936,4,1031,"Richmond","kickEffective"
"234",280747,250395,98150101,1940,4,1050,"Richmond","hitout"
"235",250395,293713,98150101,1943,4,1052,"Richmond","handballEffective"
"236",293713,270896,98150101,1946,4,1055,"Richmond","handballEffective"
"237",280747,290847,98150101,1966,4,1107,"Richmond","handballEffective"
"238",290847,270941,98150101,1968,4,1113,"Richmond","kickIneffective"
"239",294592,250395,98150101,1979,4,1171,"Richmond","kickEffective"
"240",250395,290847,98150101,1982,4,1189,"Richmond","kickIneffective"
"241",290032,294592,98150101,1996,4,1226,"Richmond","kickEffective"
"242",294592,250312,98150101,1998,4,1229,"Richmond","kickEffective"
"243",250312,991953,98150101,2000,4,1234,"Richmond","kickEffective"
"244",991953,270737,98150101,2002,4,1246,"Richmond","kickEffective"
"245",270737,290073,98150101,2007,4,1270,"Richmond","hitout"
"246",992015,290671,98150101,2022,4,1296,"Richmond","handballEffective"
"247",250312,991953,98150101,2079,4,1510,"Richmond","handballEffective"
"248",991953,290073,98150101,2083,4,1515,"Richmond","kickIneffective"
"249",291891,270896,98150101,2116,4,1639,"Richmond","kickIneffective"
"250",290032,260930,98150101,2130,4,1665,"Richmond","knockOnContested"
"251",261362,250312,98150101,2157,4,1710,"Richmond","handballEffective"
"252",250312,270737,98150101,2173,4,1765,"Richmond","kickEffective"
"253",270737,290032,98150101,2178,4,1784,"Richmond","hitout"
"254",290032,270896,98150101,2181,4,1786,"Richmond","handballEffective"
"255",270896,280747,98150101,2184,4,1789,"Richmond","kickIneffective"
"256",280747,290847,98150101,2186,4,1791,"Richmond","handballEffective"
"257",290847,270737,98150101,2190,4,1809,"Richmond","handballEffective"
"258",270737,290032,98150101,2193,4,1810,"Richmond","handballEffective"
